venue,cc4,amount,clock,day
Katerina's Cafe,1877,8.01,14:06:00,2014-01-09
Guy's Gyros,8202,27.69,14:09:00,2014-01-09
Abila Scrapyard,2276,1158.36,14:12:00,2014-01-09
Guy's Gyros,5921,17.44,14:13:00,2014-01-09
Abila Zacharo,7819,14.37,14:15:00,2014-01-09
Gelatogalore,7117,36.75,14:18:00,2014-01-09
Carlyle Chemical Inc.,7792,382.43,14:26:00,2014-01-09
Kronos Pipe and Irrigation,4530,423.14,14:28:00,2014-01-09
Stewart and Sons Fabrication,2276,918.6,15:00:00,2014-01-09
Maximum Iron and Steel,4530,1527.14,15:16:00,2014-01-09
Abila Airport,8642,4538.52,15:50:00,2014-01-09
Carlyle Chemical Inc.,7792,2176.2,16:22:00,2014-01-09
Nationwide Refinery,2276,1322.5,16:27:00,2014-01-09
Katerina's Cafe,8129,35.92,19:25:00,2014-01-09
Katerina's Cafe,5921,26.6,19:30:00,2014-01-09
Frydos Autosupply n' More,3484,138.02,19:32:00,2014-01-09
Guy's Gyros,7354,31.81,19:41:00,2014-01-09
Ouzeri Elian,6899,27.08,19:42:00,2014-01-09
Ouzeri Elian,9241,31.07,19:43:00,2014-01-09
Guy's Gyros,6816,29.96,19:52:00,2014-01-09
Hippokampos,2540,15.02,20:05:00,2014-01-09
Katerina's Cafe,4948,26.6,20:06:00,2014-01-09
Katerina's Cafe,3492,19.02,20:08:00,2014-01-09
Katerina's Cafe,6691,90.97,20:09:00,2014-01-09
Hippokampos,1877,70.68,20:15:00,2014-01-09
General Grocer,4795,285.34,20:19:00,2014-01-09
Katerina's Cafe,9405,91.14,20:20:00,2014-01-09
Frydos Autosupply n' More,6901,31.24,20:20:00,2014-01-09
Albert's Fine Clothing,7117,224.52,20:21:00,2014-01-09
Frydos Autosupply n' More,1321,120.65,20:21:00,2014-01-09
Katerina's Cafe,8202,29.82,20:22:00,2014-01-09
Guy's Gyros,7889,8.23,20:23:00,2014-01-09
Guy's Gyros,1286,18.26,20:24:00,2014-01-09
Katerina's Cafe,5407,53.78,20:27:00,2014-01-09
Guy's Gyros,7253,23.34,20:29:00,2014-01-09
Katerina's Cafe,2418,30.69,20:38:00,2014-01-09
Guy's Gyros,5368,8.23,20:38:00,2014-01-09
Guy's Gyros,7384,35.05,20:39:00,2014-01-09
Hippokampos,2463,9.13,20:41:00,2014-01-09
Frydos Autosupply n' More,3853,276.75,20:45:00,2014-01-09
Hippokampos,6895,24.96,21:01:00,2014-01-09
Guy's Gyros,4434,31.31,21:09:00,2014-01-09
Hippokampos,8156,23.66,21:12:00,2014-01-09
Shoppers' Delight,2681,258.43,21:13:00,2014-01-09
Katerina's Cafe,1310,8.57,21:18:00,2014-01-09
Albert's Fine Clothing,8332,229.98,21:27:00,2014-01-09
Hippokampos,9635,10.12,21:38:00,2014-01-09
Hallowed Grounds,8129,16.75,07:34:00,2014-01-10
Brew've Been Served,6816,15.85,07:35:00,2014-01-10
Coffee Cameleon,7253,8.51,07:40:00,2014-01-10
Hallowed Grounds,1874,12.03,07:41:00,2014-01-10
Hallowed Grounds,9617,8.34,07:41:00,2014-01-10
Hallowed Grounds,1310,11.49,07:41:00,2014-01-10
Brew've Been Served,3484,5.01,07:45:00,2014-01-10
Hallowed Grounds,3492,11.38,07:45:00,2014-01-10
Hallowed Grounds,2681,17.63,07:46:00,2014-01-10
Brew've Been Served,4948,44.88,07:47:00,2014-01-10
Coffee Cameleon,5921,11.54,07:47:00,2014-01-10
Brew've Been Served,9405,13.32,07:48:00,2014-01-10
Hallowed Grounds,7889,10.34,07:49:00,2014-01-10
Brew've Been Served,9683,89.93,07:49:00,2014-01-10
Hallowed Grounds,7108,10.76,07:50:00,2014-01-10
Brew've Been Served,5407,12.77,07:51:00,2014-01-10
Brew've Been Served,7384,83.44,07:54:00,2014-01-10
Coffee Cameleon,2418,9.69,07:54:00,2014-01-10
Brew've Been Served,5368,85.91,07:55:00,2014-01-10
Brew've Been Served,4795,97.25,07:56:00,2014-01-10
Brew've Been Served,7354,90.72,07:56:00,2014-01-10
Abila Airport,9614,4039.36,07:59:00,2014-01-10
Brew've Been Served,1286,5.89,08:01:00,2014-01-10
Brew've Been Served,6901,5.31,08:01:00,2014-01-10
Hallowed Grounds,6691,9.34,08:06:00,2014-01-10
Brew've Been Served,3853,14.45,08:09:00,2014-01-10
Brew've Been Served,7819,3.03,08:09:00,2014-01-10
Coffee Cameleon,2142,13.25,08:11:00,2014-01-10
Brew've Been Served,8202,8.47,08:17:00,2014-01-10
Brew've Been Served,4434,12.64,08:17:00,2014-01-10
Brew've Been Served,8411,14.36,08:20:00,2014-01-10
Carlyle Chemical Inc.,9614,227.81,09:09:00,2014-01-10
Kronos Mart,7688,203.91,09:30:00,2014-01-10
Nationwide Refinery,9735,1552.82,10:00:00,2014-01-10
Nationwide Refinery,9614,2302.73,10:40:00,2014-01-10
Stewart and Sons Fabrication,9735,4074.1,11:49:00,2014-01-10
Bean There Done That,1415,15.39,12:00:00,2014-01-10
Bean There Done That,9635,3.92,12:00:00,2014-01-10
Brewed Awakenings,7688,13.82,12:00:00,2014-01-10
Jack's Magical Beans,6899,15.69,12:00:00,2014-01-10
Brewed Awakenings,2540,6.17,12:00:00,2014-01-10
Bean There Done That,1877,13.41,12:00:00,2014-01-10
Brewed Awakenings,8332,13.9,12:00:00,2014-01-10
Bean There Done That,1321,18.67,12:00:00,2014-01-10
Bean There Done That,6895,9.3,12:00:00,2014-01-10
Jack's Magical Beans,9241,16.29,12:00:00,2014-01-10
Jack's Magical Beans,8156,5.46,12:00:00,2014-01-10
Jack's Magical Beans,2463,8.22,12:00:00,2014-01-10
Stewart and Sons Fabrication,9614,4195.49,12:10:00,2014-01-10
Chostus Hotel,9683,133.25,13:08:00,2014-01-10
Chostus Hotel,2540,197.41,13:11:00,2014-01-10
Guy's Gyros,8156,36.44,13:12:00,2014-01-10
Ouzeri Elian,9551,30.71,13:16:00,2014-01-10
Hippokampos,4795,79.26,13:20:00,2014-01-10
Guy's Gyros,6816,26.76,13:25:00,2014-01-10
Guy's Gyros,7253,15.93,13:27:00,2014-01-10
Abila Zacharo,6899,113.33,13:29:00,2014-01-10
Katerina's Cafe,7688,34.76,13:30:00,2014-01-10
Kalami Kafenion,3484,35.69,13:30:00,2014-01-10
Gelatogalore,1415,26.15,13:35:00,2014-01-10
Ouzeri Elian,3853,35.24,13:35:00,2014-01-10
Kalami Kafenion,9241,101.5,13:35:00,2014-01-10
Abila Zacharo,1310,36.73,13:36:00,2014-01-10
Katerina's Cafe,7354,25.36,13:36:00,2014-01-10
Guy's Gyros,7384,26.68,13:38:00,2014-01-10
Katerina's Cafe,2418,21.22,13:38:00,2014-01-10
Hippokampos,2463,32.01,13:40:00,2014-01-10
Guy's Gyros,8411,38.15,13:44:00,2014-01-10
Ouzeri Elian,9405,20.46,13:44:00,2014-01-10
Kalami Kafenion,5407,27.48,13:45:00,2014-01-10
Abila Zacharo,2681,31.34,13:46:00,2014-01-10
Guy's Gyros,9635,31.5,13:47:00,2014-01-10
Katerina's Cafe,6895,25.62,13:47:00,2014-01-10
Katerina's Cafe,2142,24.33,13:47:00,2014-01-10
Ouzeri Elian,1877,15.25,13:50:00,2014-01-10
Guy's Gyros,1321,31.05,13:52:00,2014-01-10
Kalami Kafenion,4434,24.3,13:53:00,2014-01-10
Guy's Gyros,8129,16.34,13:57:00,2014-01-10
Ouzeri Elian,5368,24.74,13:57:00,2014-01-10
Hippokampos,6901,39.89,13:58:00,2014-01-10
Abila Zacharo,1874,8.22,13:59:00,2014-01-10
Abila Zacharo,3492,16.12,14:01:00,2014-01-10
Abila Zacharo,7819,36.38,14:03:00,2014-01-10
Hippokampos,7117,11.61,14:07:00,2014-01-10
Ouzeri Elian,9617,30.93,14:07:00,2014-01-10
Katerina's Cafe,7108,77.62,14:08:00,2014-01-10
Abila Zacharo,6691,9.32,14:09:00,2014-01-10
Gelatogalore,8202,32.19,14:11:00,2014-01-10
Hippokampos,4948,10.16,14:20:00,2014-01-10
Octavio's Office Supplies,4795,139.72,14:41:00,2014-01-10
Octavio's Office Supplies,7253,64.51,16:07:00,2014-01-10
Ouzeri Elian,6899,19.92,18:52:00,2014-01-10
Frydos Autosupply n' More,7889,98.39,18:57:00,2014-01-10
Guy's Gyros,6816,23.61,19:45:00,2014-01-10
Hippokampos,1415,48.22,19:46:00,2014-01-10
Katerina's Cafe,8129,19.57,19:50:00,2014-01-10
Guy's Gyros,4795,27.78,19:54:00,2014-01-10
Hippokampos,7117,19.88,19:56:00,2014-01-10
Katerina's Cafe,5921,21.89,19:56:00,2014-01-10
Frydos Autosupply n' More,8202,43.65,20:02:00,2014-01-10
Katerina's Cafe,9405,15.76,20:08:00,2014-01-10
Hippokampos,7688,70.48,20:09:00,2014-01-10
Katerina's Cafe,8411,8.14,20:09:00,2014-01-10
Guy's Gyros,6901,29.81,20:09:00,2014-01-10
Albert's Fine Clothing,6895,126.13,20:11:00,2014-01-10
Frydos Autosupply n' More,7384,237.08,20:15:00,2014-01-10
Shoppers' Delight,7819,279.53,20:17:00,2014-01-10
Guy's Gyros,7108,35.54,20:20:00,2014-01-10
Guy's Gyros,3853,37.37,20:23:00,2014-01-10
Katerina's Cafe,5407,21.28,20:42:00,2014-01-10
Hippokampos,8332,17.21,20:50:00,2014-01-10
Roberts and Sons,7354,241.2,21:11:00,2014-01-10
Guy's Gyros,5368,25.81,21:13:00,2014-01-10
Hippokampos,8156,27.0,21:17:00,2014-01-10
General Grocer,4434,227.28,21:28:00,2014-01-10
Hippokampos,2463,79.97,22:21:00,2014-01-10
Katerina's Cafe,8156,45.22,13:19:00,2014-01-11
Katerina's Cafe,2418,45.21,13:23:00,2014-01-11
Katerina's Cafe,6895,29.1,13:32:00,2014-01-11
Abila Zacharo,1310,54.82,13:32:00,2014-01-11
Abila Zacharo,2540,89.54,13:33:00,2014-01-11
Gelatogalore,9617,17.31,13:35:00,2014-01-11
Hippokampos,4434,103.38,13:36:00,2014-01-11
Hippokampos,9551,75.62,13:37:00,2014-01-11
Hippokampos,6691,82.23,13:37:00,2014-01-11
Ouzeri Elian,8129,19.11,13:40:00,2014-01-11
Katerina's Cafe,3484,71.65,13:43:00,2014-01-11
Hippokampos,7688,31.1,13:47:00,2014-01-11
Katerina's Cafe,1321,23.45,13:50:00,2014-01-11
Abila Zacharo,7253,32.02,13:51:00,2014-01-11
Gelatogalore,3853,18.74,13:59:00,2014-01-11
Kalami Kafenion,7117,35.66,14:09:00,2014-01-11
Kalami Kafenion,7108,39.36,14:16:00,2014-01-11
Katerina's Cafe,2142,26.02,14:17:00,2014-01-11
Abila Zacharo,6901,45.2,14:19:00,2014-01-11
Shoppers' Delight,9617,157.45,15:15:00,2014-01-11
Shoppers' Delight,2418,238.52,15:20:00,2014-01-11
General Grocer,8129,78.02,15:31:00,2014-01-11
Roberts and Sons,1310,256.24,16:00:00,2014-01-11
Albert's Fine Clothing,4434,211.47,16:01:00,2014-01-11
Frydos Autosupply n' More,7688,52.73,16:09:00,2014-01-11
Ahaggo Museum,4795,89.32,16:24:00,2014-01-11
Ahaggo Museum,9683,52.14,17:16:00,2014-01-11
Katerina's Cafe,9617,55.67,19:08:00,2014-01-11
Kalami Kafenion,7819,23.86,19:17:00,2014-01-11
Ouzeri Elian,6899,69.36,19:21:00,2014-01-11
Hippokampos,7688,66.21,19:26:00,2014-01-11
Albert's Fine Clothing,8156,105.33,19:27:00,2014-01-11
Hippokampos,9683,32.63,19:27:00,2014-01-11
Hippokampos,4795,63.21,19:29:00,2014-01-11
Katerina's Cafe,2142,33.18,19:31:00,2014-01-11
Katerina's Cafe,6691,20.71,19:32:00,2014-01-11
Hippokampos,1877,11.13,19:33:00,2014-01-11
Guy's Gyros,6816,55.36,19:34:00,2014-01-11
Katerina's Cafe,2540,57.36,19:40:00,2014-01-11
Shoppers' Delight,9551,149.2,19:44:00,2014-01-11
Hippokampos,8332,63.21,19:45:00,2014-01-11
Katerina's Cafe,7889,12.55,19:50:00,2014-01-11
Katerina's Cafe,1310,45.68,19:51:00,2014-01-11
Katerina's Cafe,8411,15.72,19:52:00,2014-01-11
Hippokampos,9635,67.37,19:53:00,2014-01-11
Guy's Gyros,5368,36.2,19:57:00,2014-01-11
Katerina's Cafe,4948,25.76,20:00:00,2014-01-11
Kalami Kafenion,1286,50.2,20:04:00,2014-01-11
Ouzeri Elian,2681,16.69,20:04:00,2014-01-11
Katerina's Cafe,8202,52.45,20:06:00,2014-01-11
Guy's Gyros,7384,33.65,20:06:00,2014-01-11
Guy's Gyros,7354,16.33,20:09:00,2014-01-11
Frydos Autosupply n' More,5407,211.15,20:13:00,2014-01-11
Katerina's Cafe,9405,9.78,20:13:00,2014-01-11
Frydos Autosupply n' More,8129,236.25,20:22:00,2014-01-11
Hippokampos,1415,70.23,20:23:00,2014-01-11
Katerina's Cafe,2418,94.68,20:24:00,2014-01-11
Frydos Autosupply n' More,6901,261.0,20:26:00,2014-01-11
Hippokampos,7117,69.8,20:27:00,2014-01-11
Kalami Kafenion,7108,46.78,20:30:00,2014-01-11
Katerina's Cafe,1874,57.6,20:46:00,2014-01-11
Kronos Mart,8156,277.26,03:39:00,2014-01-12
Ouzeri Elian,8332,38.55,13:03:00,2014-01-12
Ouzeri Elian,5407,98.45,13:17:00,2014-01-12
Hippokampos,2142,12.55,13:25:00,2014-01-12
Ouzeri Elian,7819,24.72,13:28:00,2014-01-12
Ouzeri Elian,1310,72.32,13:30:00,2014-01-12
Guy's Gyros,6901,34.74,13:31:00,2014-01-12
Ouzeri Elian,8156,117.22,13:32:00,2014-01-12
Hippokampos,7117,29.2,13:35:00,2014-01-12
Gelatogalore,1286,20.09,13:40:00,2014-01-12
Abila Zacharo,9683,11.2,13:45:00,2014-01-12
Desafio Golf Course,2463,129.33,13:45:00,2014-01-12
Kalami Kafenion,2540,54.36,13:52:00,2014-01-12
Hippokampos,7889,8.54,13:54:00,2014-01-12
Kalami Kafenion,3492,14.59,13:55:00,2014-01-12
Hippokampos,1874,12.57,14:04:00,2014-01-12
Hippokampos,9551,71.99,14:06:00,2014-01-12
Desafio Golf Course,7688,220.77,14:13:00,2014-01-12
Desafio Golf Course,8332,198.46,14:14:00,2014-01-12
Guy's Gyros,8129,30.47,14:16:00,2014-01-12
Shoppers' Delight,1310,135.78,15:10:00,2014-01-12
Shoppers' Delight,1286,86.22,15:24:00,2014-01-12
Shoppers' Delight,7819,204.37,15:32:00,2014-01-12
General Grocer,7117,159.3,15:46:00,2014-01-12
Albert's Fine Clothing,2142,195.81,15:49:00,2014-01-12
Shoppers' Delight,3547,51.5,16:08:00,2014-01-12
Ahaggo Museum,6901,120.2,16:27:00,2014-01-12
Katerina's Cafe,7889,12.64,19:18:00,2014-01-12
Katerina's Cafe,7253,11.81,19:21:00,2014-01-12
Hippokampos,1321,27.15,19:22:00,2014-01-12
Guy's Gyros,7108,42.32,19:26:00,2014-01-12
Shoppers' Delight,7384,211.03,19:26:00,2014-01-12
Hippokampos,1415,66.63,19:29:00,2014-01-12
Guy's Gyros,3853,34.41,19:32:00,2014-01-12
Hippokampos,6895,49.23,19:35:00,2014-01-12
Guy's Gyros,7354,12.32,19:36:00,2014-01-12
Katerina's Cafe,5407,40.94,19:43:00,2014-01-12
Hippokampos,8332,26.79,19:44:00,2014-01-12
Katerina's Cafe,3492,17.36,19:47:00,2014-01-12
Gelatogalore,1286,36.2,19:50:00,2014-01-12
Hippokampos,8156,52.21,19:51:00,2014-01-12
Frydos Autosupply n' More,5368,88.93,19:52:00,2014-01-12
Albert's Fine Clothing,1877,63.36,19:58:00,2014-01-12
Ouzeri Elian,6899,55.55,19:59:00,2014-01-12
Katerina's Cafe,8129,39.3,20:04:00,2014-01-12
Hippokampos,9635,78.21,20:05:00,2014-01-12
Katerina's Cafe,3547,67.14,20:11:00,2014-01-12
Katerina's Cafe,9405,15.37,20:12:00,2014-01-12
Katerina's Cafe,2142,39.55,20:13:00,2014-01-12
Hippokampos,2540,69.41,20:15:00,2014-01-12
Katerina's Cafe,8411,16.34,20:17:00,2014-01-12
Katerina's Cafe,4948,40.25,20:35:00,2014-01-12
Hippokampos,7688,63.32,20:38:00,2014-01-12
Frydos Autosupply n' More,8202,161.96,20:43:00,2014-01-12
Katerina's Cafe,1874,87.09,20:48:00,2014-01-12
Kronos Mart,5407,147.3,03:00:00,2014-01-13
Daily Dealz,9551,2.01,06:04:00,2014-01-13
Hallowed Grounds,7889,9.16,07:32:00,2014-01-13
Brew've Been Served,5368,16.39,07:36:00,2014-01-13
Brew've Been Served,7384,8.04,07:38:00,2014-01-13
Coffee Cameleon,3547,19.93,07:40:00,2014-01-13
Brew've Been Served,9683,8.0,07:40:00,2014-01-13
Hallowed Grounds,1310,3.02,07:42:00,2014-01-13
Brew've Been Served,6816,24.18,07:43:00,2014-01-13
Hallowed Grounds,3492,13.68,07:43:00,2014-01-13
Brew've Been Served,4795,18.71,07:43:00,2014-01-13
Hallowed Grounds,9405,5.85,07:44:00,2014-01-13
Brew've Been Served,7354,19.64,07:53:00,2014-01-13
Hallowed Grounds,7108,19.18,07:54:00,2014-01-13
Coffee Cameleon,2418,17.49,07:55:00,2014-01-13
Brew've Been Served,5407,6.08,07:55:00,2014-01-13
Brew've Been Served,4948,9.53,07:56:00,2014-01-13
Brew've Been Served,3484,78.23,07:57:00,2014-01-13
Hallowed Grounds,6691,6.32,07:57:00,2014-01-13
Brew've Been Served,8411,13.37,08:00:00,2014-01-13
Kronos Mart,6816,159.06,08:01:00,2014-01-13
Coffee Cameleon,7253,4.88,08:02:00,2014-01-13
Brew've Been Served,4434,16.05,08:04:00,2014-01-13
Hallowed Grounds,2681,55.96,08:06:00,2014-01-13
Brew've Been Served,1286,11.49,08:07:00,2014-01-13
Coffee Cameleon,2142,17.76,08:12:00,2014-01-13
Abila Airport,9220,3617.47,08:15:00,2014-01-13
Brew've Been Served,6901,13.19,08:21:00,2014-01-13
Brew've Been Served,7819,6.69,08:22:00,2014-01-13
Brew've Been Served,8202,19.89,08:23:00,2014-01-13
Kronos Pipe and Irrigation,9220,2892.74,08:58:00,2014-01-13
Nationwide Refinery,9735,204.58,10:12:00,2014-01-13
Maximum Iron and Steel,9220,689.85,10:20:00,2014-01-13
Coffee Shack,7117,4.09,12:00:00,2014-01-13
Bean There Done That,1415,7.93,12:00:00,2014-01-13
Bean There Done That,9635,98.02,12:00:00,2014-01-13
Brewed Awakenings,7688,12.69,12:00:00,2014-01-13
Jack's Magical Beans,6899,18.31,12:00:00,2014-01-13
Brewed Awakenings,2540,56.4,12:00:00,2014-01-13
Bean There Done That,1877,19.56,12:00:00,2014-01-13
Brewed Awakenings,8332,16.25,12:00:00,2014-01-13
Bean There Done That,1321,5.54,12:00:00,2014-01-13
Bean There Done That,1874,10.37,12:00:00,2014-01-13
Bean There Done That,9617,15.24,12:00:00,2014-01-13
Bean There Done That,6895,18.59,12:00:00,2014-01-13
Carlyle Chemical Inc.,9220,1718.96,12:00:00,2014-01-13
Jack's Magical Beans,9241,5.22,12:00:00,2014-01-13
Jack's Magical Beans,8156,9.64,12:00:00,2014-01-13
Jack's Magical Beans,2463,17.52,12:00:00,2014-01-13
Abila Airport,8642,4417.03,12:11:00,2014-01-13
Hippokampos,4434,17.17,12:27:00,2014-01-13
Ouzeri Elian,9220,19.82,12:55:00,2014-01-13
Gelatogalore,8156,32.83,13:03:00,2014-01-13
U-Pump,9551,55.25,13:18:00,2014-01-13
Gelatogalore,8332,46.45,13:19:00,2014-01-13
Abila Zacharo,6816,79.95,13:20:00,2014-01-13
Abila Zacharo,1286,64.5,13:21:00,2014-01-13
Katerina's Cafe,2418,38.98,13:23:00,2014-01-13
Hippokampos,7253,35.73,13:24:00,2014-01-13
Abila Zacharo,9683,8.72,13:27:00,2014-01-13
Hippokampos,9551,30.51,13:28:00,2014-01-13
Guy's Gyros,2540,27.49,13:33:00,2014-01-13
Katerina's Cafe,6899,26.15,13:34:00,2014-01-13
Abila Zacharo,1321,27.3,13:34:00,2014-01-13
Hippokampos,7354,59.9,13:34:00,2014-01-13
Katerina's Cafe,9405,17.21,13:36:00,2014-01-13
Ouzeri Elian,4795,95.03,13:37:00,2014-01-13
Guy's Gyros,2142,37.37,13:39:00,2014-01-13
Katerina's Cafe,1874,8.29,13:40:00,2014-01-13
Guy's Gyros,2463,29.25,13:40:00,2014-01-13
Gelatogalore,1415,36.93,13:41:00,2014-01-13
Abila Zacharo,9635,11.99,13:42:00,2014-01-13
Abila Zacharo,3853,116.32,13:48:00,2014-01-13
Ouzeri Elian,1310,8.32,13:48:00,2014-01-13
Katerina's Cafe,3492,24.26,13:48:00,2014-01-13
Hippokampos,7384,91.97,13:50:00,2014-01-13
Abila Zacharo,7819,17.41,13:51:00,2014-01-13
Guy's Gyros,8411,21.03,13:51:00,2014-01-13
Katerina's Cafe,3547,29.55,13:52:00,2014-01-13
Kalami Kafenion,5368,20.33,13:55:00,2014-01-13
Guy's Gyros,7117,38.07,14:00:00,2014-01-13
Gelatogalore,8202,36.24,14:00:00,2014-01-13
Gelatogalore,2681,117.17,14:01:00,2014-01-13
Hippokampos,9617,25.09,14:04:00,2014-01-13
Ouzeri Elian,1877,29.75,14:06:00,2014-01-13
Guy's Gyros,6901,12.76,14:13:00,2014-01-13
Hippokampos,4948,26.96,14:21:00,2014-01-13
Guy's Gyros,8129,116.87,14:33:00,2014-01-13
Abila Airport,8642,2228.08,16:56:00,2014-01-13
Frydos Autosupply n' More,9551,10000.0,19:20:00,2014-01-13
Shoppers' Delight,3853,216.43,19:27:00,2014-01-13
Ouzeri Elian,9551,28.75,19:30:00,2014-01-13
Frydos Autosupply n' More,8129,188.57,19:41:00,2014-01-13
Katerina's Cafe,3547,89.83,19:50:00,2014-01-13
Frydos Autosupply n' More,8411,64.6,19:59:00,2014-01-13
Katerina's Cafe,6691,30.84,19:59:00,2014-01-13
Guy's Gyros,7354,22.34,20:09:00,2014-01-13
Guy's Gyros,4795,20.47,20:11:00,2014-01-13
Guy's Gyros,7384,36.89,20:15:00,2014-01-13
Guy's Gyros,7819,15.84,20:18:00,2014-01-13
Katerina's Cafe,2142,35.7,20:24:00,2014-01-13
Katerina's Cafe,1310,91.36,20:33:00,2014-01-13
Albert's Fine Clothing,7688,288.0,20:35:00,2014-01-13
Hippokampos,2463,29.22,20:35:00,2014-01-13
Hippokampos,1415,31.59,20:42:00,2014-01-13
Albert's Fine Clothing,1321,49.48,20:42:00,2014-01-13
Guy's Gyros,1286,88.57,20:42:00,2014-01-13
Ouzeri Elian,2681,21.83,20:43:00,2014-01-13
Katerina's Cafe,5407,93.57,20:44:00,2014-01-13
Guy's Gyros,9683,15.55,20:44:00,2014-01-13
Shoppers' Delight,6901,144.4,20:45:00,2014-01-13
Katerina's Cafe,7253,22.24,20:47:00,2014-01-13
Katerina's Cafe,7889,55.82,20:51:00,2014-01-13
Guy's Gyros,7108,37.5,20:59:00,2014-01-13
Katerina's Cafe,1874,27.59,21:00:00,2014-01-13
Guy's Gyros,5368,19.77,21:08:00,2014-01-13
Frydos Autosupply n' More,2418,202.05,21:11:00,2014-01-13
Hippokampos,8332,31.47,21:12:00,2014-01-13
Hippokampos,7117,32.29,21:13:00,2014-01-13
Katerina's Cafe,9405,33.11,21:16:00,2014-01-13
Hippokampos,8156,99.63,21:27:00,2014-01-13
Brew've Been Served,5368,14.67,07:27:00,2014-01-14
Brew've Been Served,4795,4.72,07:31:00,2014-01-14
Hallowed Grounds,7889,10.75,07:35:00,2014-01-14
Brew've Been Served,7354,7.31,07:35:00,2014-01-14
Coffee Cameleon,3547,9.8,07:37:00,2014-01-14
Brew've Been Served,9683,5.87,07:40:00,2014-01-14
Hallowed Grounds,1310,4.59,07:42:00,2014-01-14
Hallowed Grounds,8129,16.67,07:44:00,2014-01-14
Brew've Been Served,4948,14.04,07:45:00,2014-01-14
Hallowed Grounds,7108,13.0,07:45:00,2014-01-14
Brew've Been Served,3484,10.96,07:45:00,2014-01-14
Brew've Been Served,9405,16.53,07:45:00,2014-01-14
Brew've Been Served,3853,6.45,07:48:00,2014-01-14
Coffee Cameleon,2418,11.67,07:52:00,2014-01-14
Coffee Cameleon,7253,15.63,07:53:00,2014-01-14
Brew've Been Served,8202,9.53,07:53:00,2014-01-14
Brew've Been Served,7384,8.24,07:53:00,2014-01-14
Brew've Been Served,6816,3.66,07:53:00,2014-01-14
Hallowed Grounds,1874,19.99,07:54:00,2014-01-14
Hallowed Grounds,9617,50.21,07:54:00,2014-01-14
Coffee Cameleon,2142,7.84,07:56:00,2014-01-14
Brew've Been Served,7819,11.94,07:58:00,2014-01-14
Brew've Been Served,1286,3.21,08:03:00,2014-01-14
Brew've Been Served,5407,16.39,08:07:00,2014-01-14
Hallowed Grounds,3492,39.52,08:12:00,2014-01-14
Hallowed Grounds,2681,10.65,08:12:00,2014-01-14
Brew've Been Served,8411,11.53,08:13:00,2014-01-14
Brew've Been Served,6901,12.31,08:13:00,2014-01-14
Hallowed Grounds,6691,6.16,08:16:00,2014-01-14
Kronos Mart,6899,58.85,08:20:00,2014-01-14
Carlyle Chemical Inc.,7792,3630.57,09:34:00,2014-01-14
Nationwide Refinery,9735,965.72,10:03:00,2014-01-14
Stewart and Sons Fabrication,3506,600.19,11:01:00,2014-01-14
Nationwide Refinery,7792,570.95,11:45:00,2014-01-14
Stewart and Sons Fabrication,9735,278.52,11:55:00,2014-01-14
Coffee Shack,7117,3.63,12:00:00,2014-01-14
Bean There Done That,1415,7.28,12:00:00,2014-01-14
Bean There Done That,9635,19.37,12:00:00,2014-01-14
Brewed Awakenings,7688,17.14,12:00:00,2014-01-14
Brewed Awakenings,2540,8.3,12:00:00,2014-01-14
Bean There Done That,1877,14.56,12:00:00,2014-01-14
Brewed Awakenings,8332,11.35,12:00:00,2014-01-14
Bean There Done That,1321,67.82,12:00:00,2014-01-14
Bean There Done That,6895,5.9,12:00:00,2014-01-14
Jack's Magical Beans,9241,63.36,12:00:00,2014-01-14
Jack's Magical Beans,8156,95.7,12:00:00,2014-01-14
Abila Airport,8642,228.41,12:30:00,2014-01-14
Nationwide Refinery,3506,1341.01,13:00:00,2014-01-14
Abila Airport,2276,3379.21,13:06:00,2014-01-14
Katerina's Cafe,8156,29.12,13:14:00,2014-01-14
Hippokampos,7253,36.01,13:17:00,2014-01-14
Chostus Hotel,2540,109.54,13:17:00,2014-01-14
Katerina's Cafe,7792,34.45,13:21:00,2014-01-14
Chostus Hotel,9683,113.08,13:21:00,2014-01-14
Katerina's Cafe,6895,10.03,13:22:00,2014-01-14
Kalami Kafenion,9635,17.38,13:24:00,2014-01-14
Kalami Kafenion,8332,15.15,13:24:00,2014-01-14
Hippokampos,7688,23.69,13:25:00,2014-01-14
Gelatogalore,7384,27.26,13:32:00,2014-01-14
Gelatogalore,2142,32.82,13:32:00,2014-01-14
Katerina's Cafe,7354,20.95,13:32:00,2014-01-14
Gelatogalore,2463,39.17,13:33:00,2014-01-14
Katerina's Cafe,4795,29.1,13:34:00,2014-01-14
Abila Zacharo,8411,31.09,13:35:00,2014-01-14
Abila Zacharo,9405,15.26,13:35:00,2014-01-14
Guy's Gyros,1415,13.27,13:36:00,2014-01-14
Hippokampos,3853,19.07,13:37:00,2014-01-14
Abila Zacharo,1310,10.24,13:37:00,2014-01-14
Abila Zacharo,6816,8.41,13:38:00,2014-01-14
Ouzeri Elian,3484,107.32,13:40:00,2014-01-14
Kalami Kafenion,5407,33.13,13:40:00,2014-01-14
Ouzeri Elian,6899,79.58,13:41:00,2014-01-14
Katerina's Cafe,3547,75.46,13:41:00,2014-01-14
Hippokampos,7889,98.81,13:42:00,2014-01-14
Kalami Kafenion,3492,23.1,13:42:00,2014-01-14
